sector_id,quarter,sector_name,sector_color,gnpa_ratio,net_npa_ratio,sma_ratio,credit_growth_yoy,credit_to_gdp_gap,interest_coverage_ratio,restructured_assets_pct,index_return_1q,index_return_4q,drawdown_52w,price_to_book,implied_vol,fii_flow_qoq,index_level,repo_rate,cpi_inflation,gdp_growth_yoy,iip_growth,current_account_deficit_pct_gdp,capacity_utilisation,business_confidence_index,gst_eway_bill_growth,pmi_manufacturing,pmi_services,stress_label_target,observed_stress_event,gnpa_ratio_level,gnpa_ratio_lag1,gnpa_ratio_lag2,gnpa_ratio_lag4,gnpa_ratio_yoy_change,net_npa_ratio_level,net_npa_ratio_lag1,net_npa_ratio_lag2,net_npa_ratio_lag4,net_npa_ratio_yoy_change,sma_ratio_level,sma_ratio_lag1,sma_ratio_lag2,sma_ratio_lag4,sma_ratio_yoy_change,credit_growth_yoy_level,credit_growth_yoy_lag1,credit_growth_yoy_lag2,credit_growth_yoy_lag4,credit_growth_yoy_yoy_change,credit_to_gdp_gap_level,credit_to_gdp_gap_lag1,credit_to_gdp_gap_lag2,credit_to_gdp_gap_lag4,credit_to_gdp_gap_yoy_change,interest_coverage_ratio_level,interest_coverage_ratio_lag1,interest_coverage_ratio_lag2,interest_coverage_ratio_lag4,interest_coverage_ratio_yoy_change,restructured_assets_pct_level,restructured_assets_pct_lag1,restructured_assets_pct_lag2,restructured_assets_pct_lag4,restructured_assets_pct_yoy_change,index_return_1q_level,index_return_1q_lag1,index_return_1q_lag2,index_return_1q_lag4,index_return_1q_yoy_change,index_return_4q_level,index_return_4q_lag1,index_return_4q_lag2,index_return_4q_lag4,index_return_4q_yoy_change,drawdown_52w_level,drawdown_52w_lag1,drawdown_52w_lag2,drawdown_52w_lag4,drawdown_52w_yoy_change,price_to_book_level,price_to_book_lag1,price_to_book_lag2,price_to_book_lag4,price_to_book_yoy_change,implied_vol_level,implied_vol_lag1,implied_vol_lag2,implied_vol_lag4,implied_vol_yoy_change,fii_flow_qoq_level,fii_flow_qoq_lag1,fii_flow_qoq_lag2,fii_flow_qoq_lag4,fii_flow_qoq_yoy_change,index_level_level,index_level_lag1,index_level_lag2,index_level_lag4,index_level_yoy_change,repo_rate_level,repo_rate_lag1,repo_rate_lag2,repo_rate_lag4,repo_rate_yoy_change,cpi_inflation_level,cpi_inflation_lag1,cpi_inflation_lag2,cpi_inflation_lag4,cpi_inflation_yoy_change,gdp_growth_yoy_level,gdp_growth_yoy_lag1,gdp_growth_yoy_lag2,gdp_growth_yoy_lag4,gdp_growth_yoy_yoy_change,iip_growth_level,iip_growth_lag1,iip_growth_lag2,iip_growth_lag4,iip_growth_yoy_change,current_account_deficit_pct_gdp_level,current_account_deficit_pct_gdp_lag1,current_account_deficit_pct_gdp_lag2,current_account_deficit_pct_gdp_lag4,current_account_deficit_pct_gdp_yoy_change,capacity_utilisation_level,capacity_utilisation_lag1,capacity_utilisation_lag2,capacity_utilisation_lag4,capacity_utilisation_yoy_change,business_confidence_index_level,business_confidence_index_lag1,business_confidence_index_lag2,business_confidence_index_lag4,business_confidence_index_yoy_change,gst_eway_bill_growth_level,gst_eway_bill_growth_lag1,gst_eway_bill_growth_lag2,gst_eway_bill_growth_lag4,gst_eway_bill_growth_yoy_change,pmi_manufacturing_level,pmi_manufacturing_lag1,pmi_manufacturing_lag2,pmi_manufacturing_lag4,pmi_manufacturing_yoy_change,pmi_services_level,pmi_services_lag1,pmi_services_lag2,pmi_services_lag4,pmi_services_yoy_change,repo_rate_x_credit,index_return_momentum_2q,credit_growth_momentum_2q,gnpa_ratio_rolling_zscore_4q,cross_sector_avg_gnpa,quarter_index
auto,2018Q1,Auto & Auto-Anc.,#14b8a6,5.52,3.0,3.91,7.75,0.49,2.43,1.13,0.21,0.21,-12.42,1.9,33.45,919.67,13528.2,5.27,5.59,6.03,6.18,2.3,72.39,105.72,8.43,52.24,53.57,0.0,False,5.52,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.91,0.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,2.43,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,-12.42,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,33.45,0.0,0.0,0.0,0.0,919.67,0.0,0.0,0.0,0.0,13528.2,0.0,0.0,0.0,0.0,5.27,0.0,0.0,0.0,0.0,5.59,0.0,0.0,0.0,0.0,6.03,0.0,0.0,0.0,0.0,6.18,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,72.39,0.0,0.0,0.0,0.0,105.72,0.0,0.0,0.0,0.0,8.43,0.0,0.0,0.0,0.0,52.24,0.0,0.0,0.0,0.0,53.57,0.0,0.0,0.0,0.0,40.842499999999994,0.0,0.0,0.0,6.535000000000001,0
auto,2018Q2,Auto & Auto-Anc.,#14b8a6,5.47,2.94,3.91,7.85,0.98,2.58,1.14,-1.3,-1.09,-12.91,1.71,33.06,1023.91,13351.88,5.46,5.28,6.72,6.65,2.41,73.09,105.79,9.57,53.21,54.27,0.0,False,5.47,5.52,0.0,0.0,0.0,2.94,3.0,0.0,0.0,0.0,3.91,3.91,0.0,0.0,0.0,7.85,7.75,0.0,0.0,0.0,0.98,0.49,0.0,0.0,0.0,2.58,2.43,0.0,0.0,0.0,1.14,1.13,0.0,0.0,0.0,-1.3,0.21,0.0,0.0,0.0,-1.09,0.21,0.0,0.0,0.0,-12.91,-12.42,0.0,0.0,0.0,1.71,1.9,0.0,0.0,0.0,33.06,33.45,0.0,0.0,0.0,1023.91,919.67,0.0,0.0,0.0,13351.88,13528.2,0.0,0.0,0.0,5.46,5.27,0.0,0.0,0.0,5.28,5.59,0.0,0.0,0.0,6.72,6.03,0.0,0.0,0.0,6.65,6.18,0.0,0.0,0.0,2.41,2.3,0.0,0.0,0.0,73.09,72.39,0.0,0.0,0.0,105.79,105.72,0.0,0.0,0.0,9.57,8.43,0.0,0.0,0.0,53.21,52.24,0.0,0.0,0.0,54.27,53.57,0.0,0.0,0.0,42.861,0.0,0.0,-0.7071067811865412,6.368,1
auto,2018Q3,Auto & Auto-Anc.,#14b8a6,5.56,3.24,3.96,9.61,0.9,2.66,1.26,1.05,-0.04,-8.5,1.66,32.87,944.48,13492.48,5.87,5.31,7.18,6.9,2.41,73.63,105.38,10.86,53.55,54.45,0.0,False,5.56,5.47,5.52,0.0,0.0,3.24,2.94,3.0,0.0,0.0,3.96,3.91,3.91,0.0,0.0,9.61,7.85,7.75,0.0,0.0,0.9,0.98,0.49,0.0,0.0,2.66,2.58,2.43,0.0,0.0,1.26,1.14,1.13,0.0,0.0,1.05,-1.3,0.21,0.0,0.0,-0.04,-1.09,0.21,0.0,0.0,-8.5,-12.91,-12.42,0.0,0.0,1.66,1.71,1.9,0.0,0.0,32.87,33.06,33.45,0.0,0.0,944.48,1023.91,919.67,0.0,0.0,13492.48,13351.88,13528.2,0.0,0.0,5.87,5.46,5.27,0.0,0.0,5.31,5.28,5.59,0.0,0.0,7.18,6.72,6.03,0.0,0.0,6.9,6.65,6.18,0.0,0.0,2.41,2.41,2.3,0.0,0.0,73.63,73.09,72.39,0.0,0.0,105.38,105.79,105.72,0.0,0.0,10.86,9.57,8.43,0.0,0.0,53.55,53.21,52.24,0.0,0.0,54.45,54.27,53.57,0.0,0.0,56.4107,0.8400000000000001,1.8599999999999994,0.9609876522409544,6.642,2
auto,2018Q4,Auto & Auto-Anc.,#14b8a6,5.31,3.08,3.76,9.05,0.93,2.56,0.9,-0.51,-0.56,-10.69,1.82,35.01,1315.68,13423.0,6.09,5.17,7.51,6.9,2.44,74.47,106.0,10.98,53.92,54.88,0.0,False,5.31,5.56,5.47,0.0,0.0,3.08,3.24,2.94,0.0,0.0,3.76,3.96,3.91,0.0,0.0,9.05,9.61,7.85,0.0,0.0,0.93,0.9,0.98,0.0,0.0,2.56,2.66,2.58,0.0,0.0,0.9,1.26,1.14,0.0,0.0,-0.51,1.05,-1.3,0.0,0.0,-0.56,-0.04,-1.09,0.0,0.0,-10.69,-8.5,-12.91,0.0,0.0,1.82,1.66,1.71,0.0,0.0,35.01,32.87,33.06,0.0,0.0,1315.68,944.48,1023.91,0.0,0.0,13423.0,13492.48,13351.88,0.0,0.0,6.09,5.87,5.46,0.0,0.0,5.17,5.31,5.28,0.0,0.0,7.51,7.18,6.72,0.0,0.0,6.9,6.9,6.65,0.0,0.0,2.44,2.41,2.41,0.0,0.0,74.47,73.63,73.09,0.0,0.0,106.0,105.38,105.79,0.0,0.0,10.98,10.86,9.57,0.0,0.0,53.92,53.55,53.21,0.0,0.0,54.88,54.45,54.27,0.0,0.0,55.1145,0.79,1.200000000000001,-1.4129888167009321,6.925999999999999,3
auto,2019Q1,Auto & Auto-Anc.,#14b8a6,5.22,2.84,3.89,9.1,0.08,2.64,1.01,-2.51,-3.28,-11.31,1.88,31.38,688.41,13085.66,5.99,5.25,7.65,5.53,2.34,74.64,103.86,10.31,54.48,54.49,0.0,False,5.22,5.31,5.56,5.52,-5.43478260869565,2.84,3.08,3.24,3.0,-5.3333333333333375,3.89,3.76,3.96,3.91,-0.5115089514066501,9.1,9.05,9.61,7.75,17.419354838709673,0.08,0.93,0.9,0.49,-83.67346938775509,2.64,2.56,2.66,2.43,8.641975308641973,1.01,0.9,1.26,1.13,-10.619469026548662,-2.51,-0.51,1.05,0.21,-1295.2380952380952,-3.28,-0.56,-0.04,0.21,-1661.9047619047617,-11.31,-10.69,-8.5,-12.42,8.937198067632846,1.88,1.82,1.66,1.9,-1.0526315789473695,31.38,35.01,32.87,33.45,-6.188340807174899,688.41,1315.68,944.48,919.67,-25.14597627409832,13085.66,13423.0,13492.48,13528.2,-3.2712408154817405,5.99,6.09,5.87,5.27,13.662239089184075,5.25,5.17,5.31,5.59,-6.082289803220033,7.65,7.51,7.18,6.03,26.865671641791046,5.53,6.9,6.9,6.18,-10.517799352750801,2.34,2.44,2.41,2.3,1.7391304347826104,74.64,74.47,73.63,72.39,3.108164111065064,103.86,106.0,105.38,105.72,-1.759364358683314,10.31,10.98,10.86,8.43,22.301304863582452,54.48,53.92,53.55,52.24,4.287901990811629,54.49,54.88,54.45,53.57,1.7173791301101395,54.509,-3.5599999999999996,-0.5099999999999998,-1.1081720650598659,7.209999999999999,4
auto,2019Q2,Auto & Auto-Anc.,#14b8a6,5.29,2.77,3.48,9.59,-0.07,2.77,0.78,-0.61,-2.58,-8.41,1.64,33.05,969.72,13005.94,6.08,5.08,7.63,4.67,2.2,74.9,102.77,9.41,53.41,53.75,0.0,False,5.29,5.22,5.31,5.47,-3.2906764168190077,2.77,2.84,3.08,2.94,-5.782312925170065,3.48,3.89,3.76,3.91,-10.99744245524297,9.59,9.1,9.05,7.85,22.165605095541405,-0.07,0.08,0.93,0.98,-107.14285714285714,2.77,2.64,2.56,2.58,7.364341085271316,0.78,1.01,0.9,1.14,-31.578947368421044,-0.61,-2.51,-0.51,-1.3,53.07692307692308,-2.58,-3.28,-0.56,-1.09,-136.697247706422,-8.41,-11.31,-10.69,-12.91,34.856700232378,1.64,1.88,1.82,1.71,-4.093567251461992,33.05,31.38,35.01,33.06,-0.030248033877813416,969.72,688.41,1315.68,1023.91,-5.292457344883822,13005.94,13085.66,13423.0,13351.88,-2.5909459941221664,6.08,5.99,6.09,5.46,11.355311355311358,5.08,5.25,5.17,5.28,-3.7878787878787907,7.63,7.65,7.51,6.72,13.541666666666668,4.67,5.53,6.9,6.65,-29.77443609022557,2.2,2.34,2.44,2.41,-8.713692946058089,74.9,74.64,74.47,73.09,2.4763989601860747,102.77,103.86,106.0,105.79,-2.854712165611126,9.41,10.31,10.98,9.57,-1.6718913270637423,53.41,54.48,53.92,53.21,0.3758691975192553,53.75,54.49,54.88,54.27,-0.9581721024507152,58.3072,-0.09999999999999998,0.5399999999999991,-0.37052932656631804,7.552,5
auto,2019Q3,Auto & Auto-Anc.,#14b8a6,5.26,2.95,3.72,8.31,-0.99,2.66,0.88,0.48,-3.15,-8.27,1.88,31.57,536.36,13068.99,6.15,4.57,7.2,3.7,2.14,73.6,99.25,6.85,52.71,52.9,0.0,False,5.26,5.29,5.22,5.56,-5.395683453237407,2.95,2.77,2.84,3.24,-8.950617283950619,3.72,3.48,3.89,3.96,-6.060606060606054,8.31,9.59,9.1,9.61,-13.527575442247649,-0.99,-0.07,0.08,0.9,-210.0,2.66,2.77,2.64,2.66,0.0,0.88,0.78,1.01,1.26,-30.158730158730158,0.48,-0.61,-2.51,1.05,-54.28571428571429,-3.15,-2.58,-3.28,-0.04,-7775.0,-8.27,-8.41,-11.31,-8.5,2.7058823529411815,1.88,1.64,1.88,1.66,13.253012048192769,31.57,33.05,31.38,32.87,-3.9549741405536882,536.36,969.72,688.41,944.48,-43.21107911231577,13068.99,13005.94,13085.66,13492.48,-3.1387113414287056,6.15,6.08,5.99,5.87,4.770017035775132,4.57,5.08,5.25,5.31,-13.935969868173245,7.2,7.63,7.65,7.18,0.27855153203343264,3.7,4.67,5.53,6.9,-46.3768115942029,2.14,2.2,2.34,2.41,-11.20331950207469,73.6,74.9,74.64,73.63,-0.04074426184979103,99.25,102.77,103.86,105.38,-5.8170430821787775,6.85,9.41,10.31,10.86,-36.92449355432781,52.71,53.41,54.48,53.55,-1.5686274509803853,52.9,53.75,54.49,54.45,-2.8466483011937638,51.106500000000004,2.9899999999999998,-0.7899999999999991,-0.25537695922766385,7.694,6
auto,2019Q4,Auto & Auto-Anc.,#14b8a6,5.97,3.13,4.23,9.09,-1.6,2.29,1.13,0.96,-1.68,-13.91,1.51,34.95,585.11,13193.97,5.97,4.17,6.87,3.03,1.84,72.92,87.82,6.01,52.39,52.19,0.0,False,5.97,5.26,5.29,5.31,12.42937853107345,3.13,2.95,2.77,3.08,1.6233766233766176,4.23,3.72,3.48,3.76,12.500000000000016,9.09,8.31,9.59,9.05,0.4419889502762337,-1.6,-0.99,-0.07,0.93,-272.0430107526882,2.29,2.66,2.77,2.56,-10.546875,1.13,0.88,0.78,0.9,25.555555555555543,0.96,0.48,-0.61,-0.51,288.2352941176471,-1.68,-3.15,-2.58,-0.56,-199.99999999999994,-13.91,-8.27,-8.41,-10.69,-30.12160898035548,1.51,1.88,1.64,1.82,-17.032967032967036,34.95,31.57,33.05,35.01,-0.17137960582689282,585.11,536.36,969.72,1315.68,-55.52793992460173,13193.97,13068.99,13005.94,13423.0,-1.706250465618719,5.97,6.15,6.08,6.09,-1.9704433497536964,4.17,4.57,5.08,5.17,-19.342359767891683,6.87,7.2,7.63,7.51,-8.521970705725696,3.03,3.7,4.67,6.9,-56.08695652173914,1.84,2.14,2.2,2.44,-24.590163934426222,72.92,73.6,74.9,74.47,-2.081375050355844,87.82,99.25,102.77,106.0,-17.15094339622642,6.01,6.85,9.41,10.98,-45.26411657559199,52.39,52.71,53.41,53.92,-2.8375370919881324,52.19,52.9,53.75,54.88,-4.901603498542283,54.2673,1.5699999999999998,-0.5,1.4951757882786627,7.601999999999999,7
auto,2020Q1,Auto & Auto-Anc.,#14b8a6,6.42,3.53,4.54,7.54,-1.6,2.47,1.37,-2.71,-1.88,-13.33,1.65,34.18,127.28,12836.01,5.79,3.97,5.38,0.09,1.73,68.88,86.02,-6.69,47.61,48.52,0.0,False,6.42,5.97,5.26,5.22,22.988505747126442,3.53,3.13,2.95,2.84,24.29577464788732,4.54,4.23,3.72,3.89,16.70951156812339,7.54,9.09,8.31,9.1,-17.14285714285714,-1.6,-1.6,-0.99,0.08,-2100.0,2.47,2.29,2.66,2.64,-6.439393939393937,1.37,1.13,0.88,1.01,35.643564356435654,-2.71,0.96,0.48,-2.51,-7.968127490039849,-1.88,-1.68,-3.15,-3.28,42.68292682926829,-13.33,-13.91,-8.27,-11.31,-17.860300618921304,1.65,1.51,1.88,1.88,-12.23404255319149,34.18,34.95,31.57,31.38,8.922880815806248,127.28,585.11,536.36,688.41,-81.51101814325766,12836.01,13193.97,13068.99,13085.66,-1.9078135913664245,5.79,5.97,6.15,5.99,-3.3388981636060127,3.97,4.17,4.57,5.25,-24.38095238095238,5.38,6.87,7.2,7.65,-29.67320261437909,0.09,3.03,3.7,5.53,-98.37251356238698,1.73,1.84,2.14,2.34,-26.068376068376065,68.88,72.92,73.6,74.64,-7.717041800643093,86.02,87.82,99.25,103.86,-17.176968996726366,-6.69,6.01,6.85,10.31,-164.88845780795342,47.61,52.39,52.71,54.48,-12.610132158590304,48.52,52.19,52.9,54.49,-10.956138741053403,43.6566,-3.19,-0.7700000000000005,1.2184960497026707,7.2780000000000005,8
auto,2020Q2,Auto & Auto-Anc.,#14b8a6,6.88,3.98,4.66,6.61,-2.95,2.3,1.28,-3.77,-5.04,-15.14,1.49,37.23,-555.55,12352.24,5.46,4.13,4.75,-0.33,1.56,67.52,87.82,-6.57,46.35,48.02,0.0,False,6.88,6.42,5.97,5.29,30.056710775047257,3.98,3.53,3.13,2.77,43.682310469314075,4.66,4.54,4.23,3.48,33.9080459770115,6.61,7.54,9.09,9.59,-31.074035453597492,-2.95,-1.6,-1.6,-0.07,-4114.285714285715,2.3,2.47,2.29,2.77,-16.967509025270765,1.28,1.37,1.13,0.78,64.1025641025641,-3.77,-2.71,0.96,-0.61,-518.032786885246,-5.04,-1.88,-1.68,-2.58,-95.34883720930232,-15.14,-13.33,-13.91,-8.41,-80.02378121284185,1.49,1.65,1.51,1.64,-9.146341463414629,37.23,34.18,34.95,33.05,12.647503782148261,-555.55,127.28,585.11,969.72,-157.28973311883843,12352.24,12836.01,13193.97,13005.94,-5.02616496769938,5.46,5.79,5.97,6.08,-10.197368421052634,4.13,3.97,4.17,5.08,-18.700787401574807,4.75,5.38,6.87,7.63,-37.745740498034074,-0.33,0.09,3.03,4.67,-107.06638115631692,1.56,1.73,1.84,2.2,-29.090909090909093,67.52,68.88,72.92,74.9,-9.853137516688932,87.82,86.02,87.82,102.77,-14.547046803541894,-6.57,-6.69,6.01,9.41,-169.8193411264612,46.35,47.61,52.39,53.41,-13.218498408537718,48.02,48.52,52.19,53.75,-10.660465116279063,36.0906,-4.73,-2.4799999999999995,1.083039542877066,6.8610000000000015,9
